id,variante,vorhersage,mass,share,ratio,precision,hit,sum_R,sum_positive
sub-017,original,22.168354034423828,0.008474022150039673,0.009545196276221858,0.8877787590026855,0.002447074891873435,False,7.523611068725586,8.120248794555664
sub-017,shuffled,22.16875648498535,0.04813293740153313,0.009545196276221858,5.042634963989258,0.2416344183928978,True,6.421651840209961,6.908259391784668
sub-036,original,22.168319702148438,0.006568478886038065,0.010366875036917087,0.6336026191711426,0.001881315846054612,False,7.492162227630615,8.180116653442383
sub-036,shuffled,22.168691635131836,0.041796743869781494,0.010366875036917087,4.031759262084961,0.18560524618361643,True,6.681417465209961,7.147769451141357
sub-083,original,22.16832733154297,0.01129288412630558,0.010333125166520208,1.092881679534912,0.003075661267172442,False,7.723476409912109,8.37571907043457
sub-083,shuffled,22.168746948242188,0.04428572952747345,0.010333125166520208,4.285801887512207,0.18587246257945458,True,6.440147876739502,6.973585605621338
sub-191,original,22.16834259033203,0.007015834096819162,0.008693574899243802,0.8070136904716492,0.004841129142233738,False,7.241206169128418,7.812247276306152
sub-191,shuffled,22.168718338012695,0.03245745971798897,0.008693574899243802,3.733499765396118,0.1420291831446884,True,6.069962501525879,6.501168251037598
sub-267,original,22.168346405029297,0.010491457767784595,0.008672019516547894,1.2098056077957153,0.006843455945252352,False,7.4921135902404785,8.09477424621582
sub-267,shuffled,22.168746948242188,0.03398723527789116,0.008672019516547894,3.9191834926605225,0.16833679579616279,True,6.613601207733154,7.114652156829834
sub-395,original,22.168333053588867,0.008058728650212288,0.00999020759552482,0.8066627383232117,0.0012087026591458502,False,7.166675090789795,7.71884822845459
sub-395,shuffled,22.168670654296875,0.02470213919878006,0.00999020759552482,2.472635269165039,0.0890986531598941,True,7.2636799812316895,7.74289083480835
sub-532,original,22.1683349609375,0.02234996296465397,0.009798396364857936,2.2809817790985107,0.04110747716251269,False,7.649988174438477,8.182625770568848
sub-532,shuffled,22.168685913085938,0.04159602150321007,0.009798396364857936,4.245186805725098,0.18472989737227924,True,7.138807773590088,7.650635242462158
sub-554,original,22.168373107910156,0.0004874097357969731,0.008946500218976904,0.05448049306869507,0.0004232207096000564,False,7.0030717849731445,7.692627429962158
sub-554,shuffled,22.168712615966797,0.038457535207271576,0.008946500218976904,4.298612594604492,0.21499612047682867,True,5.957008361816406,6.2783732414245605
sub-621,original,22.168350219726562,0.005986756645143032,0.011302673496633888,0.5296761393547058,0.001698289997657531,False,6.786798477172852,7.249130725860596
sub-621,shuffled,22.168685913085938,0.03373982012271881,0.011302673496633888,2.9851186275482178,0.14177793394237526,True,6.387507438659668,6.706733226776123
sub-638,original,22.168272018432617,0.0073387762531638145,0.007888609038635176,0.9303004741668701,0.0011799776425288784,False,7.897062301635742,8.530294418334961
sub-638,shuffled,22.168819427490234,0.03909263759851456,0.007888609038635176,4.955580711364746,0.24034281455719786,True,6.9183735847473145,7.435312271118164
